Symbol,Date,LTP,High,Low,Open,Quantity,Turnover
AKPL,2017/12/20,356.0,358.0,351.0,352.0,1458.0,516266.0
AKPL,2017/12/19,358.0,360.0,351.0,360.0,3355.0,1199760.0
AKPL,2017/12/18,360.0,368.0,359.0,365.0,4378.0,1590480.0
AKPL,2017/12/17,360.0,360.0,354.0,354.0,1060.0,379264.0
AKPL,2017/12/14,361.0,370.0,357.0,357.0,187.0,67361.0
AKPL,2017/12/13,364.0,367.0,356.0,356.0,2390.0,866173.0
AKPL,2017/12/12,362.0,373.0,359.0,373.0,2947.0,1070800.0
AKPL,2017/12/11,370.0,374.0,355.0,360.0,1935.0,709695.0
AKPL,2017/12/10,367.0,379.0,365.0,379.0,1943.0,719037.0
AKPL,2017/12/06,372.0,372.0,355.0,355.0,13162.0,4832060.0
AKPL,2017/12/05,356.0,360.0,351.0,351.0,1846.0,655129.0
AKPL,2017/12/04,358.0,372.0,344.0,372.0,6724.0,2410180.0
AKPL,2017/11/30,365.0,365.0,344.0,347.0,5588.0,2003230.0
AKPL,2017/11/29,355.0,369.0,353.0,354.0,9802.0,3533730.0
AKPL,2017/11/28,348.0,358.0,344.0,344.0,695.0,244862.0
AKPL,2017/11/27,351.0,361.0,336.0,347.0,4960.0,1740760.0
AKPL,2017/11/26,354.0,364.0,347.0,353.0,3578.0,1281211.0
AKPL,2017/11/23,353.0,353.0,343.0,343.0,5691.0,1978905.0
AKPL,2017/11/22,343.0,353.0,334.0,351.0,2724.0,938168.0
AKPL,2017/11/21,351.0,351.0,330.0,331.0,7667.0,2608130.0
AKPL,2017/11/20,336.0,338.0,330.0,330.0,2051.0,687878.0
AKPL,2017/11/19,335.0,340.0,326.0,332.0,45210.0,15145567.0
AKPL,2017/11/16,332.0,343.0,327.0,331.0,2407.0,809263.0
AKPL,2017/11/15,337.0,342.0,332.0,342.0,2178.0,734906.0
AKPL,2017/11/14,346.0,348.0,334.0,340.0,8731.0,2989240.0
AKPL,2017/11/13,342.0,342.0,321.0,327.0,2082.0,686167.0
AKPL,2017/11/12,327.0,330.0,324.0,326.0,1146.0,375325.0
AKPL,2017/11/09,326.0,338.0,320.0,320.0,3682.0,1210940.0
AKPL,2017/11/08,322.0,330.0,319.0,330.0,1927.0,621058.0
AKPL,2017/11/07,330.0,330.0,320.0,320.0,982.0,320296.0
AKPL,2017/11/06,326.0,331.0,322.0,325.0,2142.0,704307.0
AKPL,2017/11/05,325.0,325.0,321.0,321.0,1982.0,639535.0
AKPL,2017/11/02,327.0,331.0,323.0,323.0,1048.0,341967.0
AKPL,2017/11/01,330.0,338.0,328.0,337.0,2946.0,970535.0
AKPL,2017/10/31,334.0,335.0,327.0,332.0,1710.0,569647.0
AKPL,2017/10/30,332.0,335.0,330.0,335.0,5677.0,1883470.0
AKPL,2017/10/29,335.0,346.0,333.0,335.0,1668.0,564788.0
AKPL,2017/10/25,338.0,344.0,335.0,338.0,2006.0,684814.0
AKPL,2017/10/24,344.0,346.0,340.0,342.0,779.0,267000.0
AKPL,2017/10/23,342.0,355.0,340.0,351.0,2467.0,852013.0
AKPL,2017/10/22,344.0,351.0,335.0,335.0,6572.0,2243730.0
AKPL,2017/10/18,329.0,329.0,317.0,322.0,215.0,69494.0
AKPL,2017/10/17,328.0,338.0,321.0,321.0,1323.0,437837.0
AKPL,2017/10/16,326.0,336.0,320.0,320.0,389.0,127032.0
AKPL,2017/10/15,325.0,325.0,315.0,315.0,1226.0,397115.0
AKPL,2017/10/12,320.0,324.0,317.0,320.0,4026.0,1292430.0
AKPL,2017/10/11,325.0,326.0,317.0,317.0,277.0,89080.0
AKPL,2017/10/10,323.0,323.0,312.0,312.0,1247.0,393387.0
AKPL,2017/10/09,319.0,319.0,315.0,317.0,2361.0,746894.0
AKPL,2017/10/08,317.0,326.0,315.0,326.0,1817.0,575696.0
AKPL,2017/10/04,332.0,346.0,330.0,346.0,2804.0,939867.0
AKPL,2017/09/26,340.0,341.0,330.0,340.0,3344.0,1125470.0
AKPL,2017/09/25,341.0,343.0,339.0,340.0,1680.0,573374.0
AKPL,2017/09/24,335.0,337.0,328.0,328.0,779.0,259413.0
AKPL,2017/09/20,333.0,336.0,326.0,330.0,1664.0,547030.0
AKPL,2017/09/18,336.0,346.0,334.0,346.0,1968.0,663556.0
AKPL,2017/09/17,340.0,350.0,340.0,345.0,4138.0,1423400.0
AKPL,2017/09/14,342.0,342.0,324.0,324.0,2678.0,893369.0
AKPL,2017/09/13,330.0,335.0,326.0,327.0,2061.0,680865.0
AKPL,2017/09/12,330.0,339.0,326.0,335.0,3991.0,1323100.0
AKPL,2017/09/11,335.0,340.0,326.0,327.0,2600.0,860999.0
AKPL,2017/09/10,332.0,342.0,330.0,342.0,9243.0,3103430.0
AKPL,2017/09/07,348.0,352.0,346.0,346.0,6831.0,2380070.0
AKPL,2017/09/06,350.0,365.0,346.0,367.0,5791.0,2033770.0
AKPL,2017/09/04,360.0,362.0,345.0,355.0,5940.0,2084410.0
AKPL,2017/08/31,354.0,358.0,350.0,360.0,6893.0,2436766.0
AKPL,2017/08/30,360.0,368.0,360.0,368.0,2199.0,797716.0
AKPL,2017/08/28,368.0,391.0,358.0,382.0,6756.0,2544940.0
AKPL,2017/08/27,378.0,378.0,350.0,372.0,9008.0,3305972.0
AKPL,2018/02/08,321.0,332.0,317.0,332.0,1419.0,465879.0
AKPL,2018/02/07,329.0,329.0,315.0,315.0,203.0,64616.0
AKPL,2018/02/06,319.0,325.0,319.0,324.0,4833.0,1556870.0
AKPL,2018/02/05,328.0,330.0,326.0,330.0,9369.0,3076360.0
AKPL,2018/02/04,334.0,337.0,329.0,329.0,2004.0,661689.0
AKPL,2018/02/01,335.0,343.0,331.0,338.0,461.0,153932.0
AKPL,2018/01/31,335.0,335.0,332.0,335.0,1510.0,505095.0
AKPL,2018/01/29,332.0,332.0,328.0,328.0,423.0,139939.0
AKPL,2018/01/28,334.0,344.0,328.0,334.0,917.0,305050.0
AKPL,2018/01/25,339.0,340.0,330.0,330.0,1334.0,443767.0
AKPL,2018/01/24,335.0,335.0,329.0,330.0,732.0,242092.0
AKPL,2018/01/23,330.0,337.0,325.0,330.0,1780.0,586231.0
AKPL,2018/01/22,334.0,334.0,327.0,327.0,1374.0,457206.0
AKPL,2018/01/21,332.0,338.0,331.0,338.0,2711.0,904055.0
AKPL,2018/01/17,336.0,337.0,333.0,335.0,2038.0,681296.0
AKPL,2018/01/16,337.0,340.0,332.0,335.0,991.0,335644.0
AKPL,2018/01/14,341.0,341.0,333.0,339.0,1078.0,364844.0
AKPL,2018/01/10,342.0,346.0,337.0,340.0,828.0,284337.0
AKPL,2018/01/09,340.0,345.0,335.0,341.0,1199.0,412082.0
AKPL,2018/01/08,341.0,342.0,335.0,335.0,235.0,79513.0
AKPL,2018/01/07,340.0,344.0,338.0,340.0,1013.0,344579.0
AKPL,2018/01/04,342.0,342.0,338.0,340.0,1449.0,493044.0
AKPL,2018/01/03,337.0,343.0,333.0,343.0,3199.0,1080290.0
AKPL,2018/01/02,343.0,346.0,337.0,340.0,1127.0,384163.0
AKPL,2018/01/01,341.0,347.0,334.0,335.0,1358.0,465716.0
AKPL,2017/12/31,335.0,339.0,332.0,335.0,2374.0,796545.0
